"公表日","陽性患者数"
"2021-01-06","1"
"2021-01-07","1"
"2021-01-08","3"
"2021-01-09","7"
"2021-01-10","4"
"2021-01-11","0"
"2021-01-12","2"
"2021-01-13","0"
"2021-01-14","1"
"2021-01-15","0"
"2021-01-16","2"
"2021-01-17","1"
"2021-01-18","1"
"2021-01-19","1"
"2021-01-20","6"
"2021-01-21","5"
"2021-01-22","12"
"2021-01-23","9"
"2021-01-24","1"
"2021-01-25","1"
"2021-01-26","7"
"2021-01-27","8"
"2021-01-28","2"
"2021-01-29","6"
"2021-01-30","5"
"2021-01-31","0"
"2021-02-01","1"
"2021-02-02","2"
"2021-02-03","1"
"2021-02-04","1"
"2021-02-05","1"
"2021-02-06","1"
"2021-02-07","5"
"2021-02-08","0"
"2021-02-09","1"
"2021-02-10","2"
"2021-02-11","1"
"2021-02-12","1"
"2021-02-13","2"
"2021-02-14","3"
"2021-02-15","0"
"2021-02-16","8"
"2021-02-17","6"
"2021-02-18","4"
"2021-02-19","4"
"2021-02-20","7"
"2021-02-21","14"
"2021-02-22","2"
"2021-02-23","15"
"2021-02-24","0"
"2021-02-25","5"
"2021-02-26","1"
"2021-02-27","1"
"2021-02-28","1"
"2021-03-01","0"
"2021-03-02","0"
"2021-03-03","1"
"2021-03-04","0"
"2021-03-05","1"
"2021-03-06","0"
"2021-03-07","0"
"2021-03-08","1"
"2021-03-09","2"
"2021-03-10","3"
"2021-03-11","0"
"2021-03-12","0"
"2021-03-13","1"
"2021-03-14","1"
"2021-03-15","0"
"2021-03-16","0"
"2021-03-17","0"
"2021-03-18","0"
"2021-03-19","0"
"2021-03-20","0"
"2021-03-21","0"
"2021-03-22","1"
"2021-03-23","1"
"2021-03-24","2"
"2021-03-25","2"
"2021-03-26","1"
"2021-03-27","0"
"2021-03-28","0"
"2021-03-29","1"
"2021-03-30","2"
"2021-03-31","1"
"2021-04-01","5"
"2021-04-02","5"
"2021-04-03","6"
"2021-04-04","8"
"2021-04-05","11"
"2021-04-06","13"
"2021-04-07","7"
"2021-04-08","9"
"2021-04-09","13"
"2021-04-10","7"
"2021-04-11","8"
"2021-04-12","0"
"2021-04-13","11"
"2021-04-14","5"
"2021-04-15","11"
"2021-04-16","10"
"2021-04-17","12"
"2021-04-18","9"
"2021-04-19","0"
"2021-04-20","17"
"2021-04-21","4"
"2021-04-22","10"
"2021-04-23","8"
"2021-04-24","8"
"2021-04-25","2"
"2021-04-26","5"
"2021-04-27","15"
"2021-04-28","7"
"2021-04-29","29"
"2021-04-30","8"
"2021-05-01","19"
"2021-05-02","19"
"2021-05-03","3"
"2021-05-04","13"
"2021-05-05","4"
"2021-05-06","13"
"2021-05-07","13"
"2021-05-08","15"
"2021-05-09","18"
"2021-05-10","1"
"2021-05-11","15"
"2021-05-12","18"
"2021-05-13","20"
"2021-05-14","23"
"2021-05-15","23"
"2021-05-16","13"
"2021-05-17","9"
"2021-05-18","21"
"2021-05-19","33"
"2021-05-20","31"
"2021-05-21","25"
"2021-05-22","29"
"2021-05-23","23"
"2021-05-24","3"
"2021-05-25","38"
"2021-05-26","23"
"2021-05-27","22"
"2021-05-28","11"
"2021-05-29","16"
"2021-05-30","14"
"2021-05-31","4"
"2021-06-01","14"
"2021-06-02","9"
"2021-06-03","14"
"2021-06-04","13"
"2021-06-05","12"
"2021-06-06","7"
"2021-06-07","3"
"2021-06-08","8"
"2021-06-09","3"
"2021-06-10","3"
"2021-06-11","14"
"2021-06-12","2"
"2021-06-13","2"
"2021-06-14","0"
"2021-06-15","2"
"2021-06-16","1"
"2021-06-17","0"
"2021-06-18","0"
"2021-06-19","0"
"2021-06-20","0"
"2021-06-21","0"
"2021-06-22","0"
"2021-06-23","0"
"2021-06-24","0"
"2021-06-25","0"
"2021-06-26","0"
"2021-06-27","0"
"2021-06-28","0"
"2021-06-29","0"
"2021-06-30","0"
"2021-07-01","1"
"2021-07-02","0"
"2021-07-03","0"
"2021-07-04","0"
"2021-07-05","0"
"2021-07-06","4"
"2021-07-07","5"
"2021-07-08","4"
"2021-07-09","2"
"2021-07-10","0"
"2021-07-11","3"
"2021-07-12","0"
"2021-07-13","1"
"2021-07-14","2"
"2021-07-15","1"
"2021-07-16","2"
"2021-07-17","2"
"2021-07-18","0"
"2021-07-19","0"
"2021-07-20","4"
"2021-07-21","3"
"2021-07-22","1"
"2021-07-23","1"
"2021-07-24","4"
"2021-07-25","9"
"2021-07-26","1"
"2021-07-27","7"
"2021-07-28","6"
"2021-07-29","8"
"2021-07-30","4"
"2021-07-31","10"
"2021-08-01","5"
"2021-08-02","2"
"2021-08-03","10"
"2021-08-04","8"
"2021-08-05","5"
"2021-08-06","9"
"2021-08-07","11"
"2021-08-08","2"
"2021-08-09","1"
"2021-08-10","11"
"2021-08-11","13"
"2021-08-12","24"
"2021-08-13","41"
"2021-08-14","24"
"2021-08-15","26"
"2021-08-16","20"
"2021-08-17","53"
"2021-08-18","56"
"2021-08-19","60"
"2021-08-20","52"
"2021-08-21","65"
"2021-08-22","43"
"2021-08-23","58"
"2021-08-24","60"
"2021-08-25","83"
"2021-08-26","59"
"2021-08-27","45"
"2021-08-28","58"
"2021-08-29","37"
"2021-08-30","47"
"2021-08-31","20"
"2021-09-01","49"
"2021-09-02","17"
"2021-09-03","23"
"2021-09-04","23"
"2021-09-05","7"
"2021-09-06","11"
"2021-09-07","18"
"2021-09-08","12"
"2021-09-09","12"
"2021-09-10","11"
"2021-09-11","12"
"2021-09-12","12"
"2021-09-13","5"
"2021-09-14","8"
"2021-09-15","8"
"2021-09-16","9"
"2021-09-17","7"
"2021-09-18","6"
"2021-09-19","5"
"2021-09-20","3"
"2021-09-21","0"
"2021-09-22","6"
"2021-09-23","8"
"2021-09-24","8"
"2021-09-25","8"
"2021-09-26","6"
"2021-09-27","3"
"2021-09-28","1"
"2021-09-29","10"
"2021-09-30","2"
"2021-10-01","4"
"2021-10-02","3"
"2021-10-03","3"
"2021-10-04","1"
"2021-10-05","7"
"2021-10-06","2"
"2021-10-07","2"
"2021-10-08","7"
"2021-10-09","4"
"2021-10-10","3"
"2021-10-11","1"
"2021-10-12","4"
"2021-10-13","5"
"2021-10-14","10"
"2021-10-15","11"
"2021-10-16","7"
"2021-10-17","3"
"2021-10-18","0"
"2021-10-19","4"
"2021-10-20","1"
"2021-10-21","0"
"2021-10-22","2"
"2021-10-23","1"
"2021-10-24","1"
"2021-10-25","0"
"2021-10-26","7"
"2021-10-27","4"
"2021-10-28","4"
"2021-10-29","7"
"2021-10-30","5"
"2021-10-31","8"
"2021-11-01","0"
"2021-11-02","11"
"2021-11-03","8"
"2021-11-04","1"
"2021-11-05","12"
"2021-11-06","6"
"2021-11-07","4"
"2021-11-08","2"
"2021-11-09","10"
"2021-11-10","6"
"2021-11-11","4"
"2021-11-12","15"
"2021-11-13","14"
"2021-11-14","5"
"2021-11-15","1"
"2021-11-16","6"
"2021-11-17","16"
"2021-11-18","8"
"2021-11-19","6"
"2021-11-20","7"
"2021-11-21","9"
"2021-11-22","1"
"2021-11-23","8"
"2021-11-24","1"
"2021-11-25","4"
"2021-11-26","2"
"2021-11-27","7"
"2021-11-28","4"
"2021-11-29","1"
"2021-11-30","2"
"2021-12-01","0"
"2021-12-02","1"
"2021-12-03","2"
"2021-12-04","0"
"2021-12-05","0"
"2021-12-06","0"
"2021-12-07","1"
"2021-12-08","0"
"2021-12-09","1"
"2021-12-10","1"
"2021-12-11","0"
"2021-12-12","1"
"2021-12-13","0"
"2021-12-14","0"
"2021-12-15","0"
"2021-12-16","0"
"2021-12-17","0"
"2021-12-18","2"
"2021-12-19","3"
"2021-12-20","5"
"2021-12-21","4"
"2021-12-22","3"
"2021-12-23","2"
"2021-12-24","1"
"2021-12-25","5"
"2021-12-26","4"
"2021-12-27","0"
"2021-12-28","3"
"2021-12-29","7"
"2021-12-30","7"
"2021-12-31","1"
"2022-01-01","2"
"2022-01-02","0"
"2022-01-03","0"
"2022-01-04","1"
"2022-01-05","0"
"2022-01-06","3"
"2022-01-07","4"
"2022-01-08","3"
"2022-01-09","4"
"2022-01-10","4"
"2022-01-11","5"
"2022-01-12","9"
"2022-01-13","15"
"2022-01-14","19"
"2022-01-15","19"
"2022-01-16","32"
"2022-01-17","1"
"2022-01-18","20"
"2022-01-19","40"
"2022-01-20","51"
"2022-01-21","45"
"2022-01-22","38"
"2022-01-23","34"
"2022-01-24","32"
"2022-01-25","54"
"2022-01-26","92"
"2022-01-27","86"
"2022-01-28","97"
"2022-01-29","102"
"2022-01-30","109"
"2022-01-31","102"
"2022-02-01","118"
"2022-02-02","178"
"2022-02-03","137"
"2022-02-04","122"
"2022-02-05","178"
"2022-02-06","139"
"2022-02-07","117"
"2022-02-08","164"
"2022-02-09","193"
"2022-02-10","160"
"2022-02-11","136"
"2022-02-12","134"
"2022-02-13","142"
"2022-02-14","92"
"2022-02-15","141"
"2022-02-16","121"
"2022-02-17","69"
"2022-02-18","122"
"2022-02-19","96"
"2022-02-20","97"
"2022-02-21","87"
"2022-02-22","126"
"2022-02-23","112"
"2022-02-24","55"
"2022-02-25","72"
"2022-02-26","121"
"2022-02-27","132"
"2022-02-28","60"
"2022-03-01","126"
"2022-03-02","125"
"2022-03-03","105"
"2022-03-04","146"
"2022-03-05","98"
"2022-03-06","76"
"2022-03-07","83"
"2022-03-08","150"
"2022-03-09","127"
"2022-03-10","126"
"2022-03-11","118"
"2022-03-12","124"
"2022-03-13","90"
"2022-03-14","75"
"2022-03-15","131"
"2022-03-16","132"
"2022-03-17","109"
"2022-03-18","83"
"2022-03-19","81"
"2022-03-20","74"
"2022-03-21","67"
"2022-03-22","36"
"2022-03-23","101"
"2022-03-24","108"
"2022-03-25","114"
"2022-03-26","95"
"2022-03-27","47"
"2022-03-28","68"
"2022-03-29","151"
"2022-03-30","88"
"2022-03-31","111"
"2022-04-01","145"
"2022-04-02","91"
"2022-04-03","78"
"2022-04-04","67"
"2022-04-05","130"
"2022-04-06","143"
"2022-04-07","146"
"2022-04-08","134"
"2022-04-09","113"
"2022-04-10","114"
"2022-04-11","92"
"2022-04-12","155"
"2022-04-13","161"
"2022-04-14","134"
"2022-04-15","151"
"2022-04-16","143"
"2022-04-17","140"
"2022-04-18","118"
"2022-04-19","256"
"2022-04-20","293"
"2022-04-21","221"
"2022-04-22","270"
"2022-04-23","262"
"2022-04-24","231"
"2022-04-25","123"
"2022-04-26","342"
"2022-04-27","319"
"2022-04-28","318"
"2022-04-29","243"
"2022-04-30","154"
"2022-05-01","195"
"2022-05-02","160"
"2022-05-03","265"
"2022-05-04","147"
"2022-05-05","95"
"2022-05-06","110"
"2022-05-07","247"
"2022-05-08","209"
"2022-05-09","107"
"2022-05-10","251"
"2022-05-11","272"
"2022-05-12","206"
"2022-05-13","252"
"2022-05-14","215"
"2022-05-15","171"
"2022-05-16","95"
"2022-05-17","250"
"2022-05-18","247"
"2022-05-19","223"
"2022-05-20","173"
"2022-05-21","142"
"2022-05-22","145"
"2022-05-23","92"
"2022-05-24","185"
"2022-05-25","182"
"2022-05-26","141"
"2022-05-27","101"
"2022-05-28","121"
"2022-05-29","91"
"2022-05-30","51"
"2022-05-31","134"
"2022-06-01","65"
"2022-06-02","57"
"2022-06-03","73"
"2022-06-04","52"
"2022-06-05","54"
"2022-06-06","35"
"2022-06-07","100"
"2022-06-08","102"
"2022-06-09","92"
"2022-06-10","85"
"2022-06-11","76"
"2022-06-12","68"
"2022-06-13","32"
"2022-06-14","94"
"2022-06-15","79"
"2022-06-16","66"
"2022-06-17","45"
"2022-06-18","52"
"2022-06-19","55"
"2022-06-20","34"
"2022-06-21","55"
"2022-06-22","47"
"2022-06-23","51"
"2022-06-24","58"
"2022-06-25","45"
"2022-06-26","43"
"2022-06-27","28"
"2022-06-28","56"
"2022-06-29","58"
"2022-06-30","38"
"2022-07-01","38"
"2022-07-02","35"
"2022-07-03","36"
"2022-07-04","8"
"2022-07-05","66"
"2022-07-06","38"
"2022-07-07","58"
"2022-07-08","37"
"2022-07-09","51"
"2022-07-10","30"
"2022-07-11","8"
"2022-07-12","74"
"2022-07-13","59"
"2022-07-14","72"
"2022-07-15","63"
"2022-07-16","50"
"2022-07-17","53"
"2022-07-18","23"
"2022-07-19","45"
"2022-07-20","190"
"2022-07-21","189"
"2022-07-22","212"
"2022-07-23","212"
"2022-07-24","181"
"2022-07-25","90"
"2022-07-26","349"
"2022-07-27","314"
"2022-07-28","335"
"2022-07-29","343"
"2022-07-30","338"
"2022-07-31","249"
"2022-08-01","164"
"2022-08-02","422"
"2022-08-03","380"
"2022-08-04","355"
"2022-08-05","355"
"2022-08-06","418"
"2022-08-07","330"
"2022-08-08","173"
"2022-08-09","555"
"2022-08-10","513"
"2022-08-11","435"
"2022-08-12","165"
"2022-08-13","474"
"2022-08-14","300"
"2022-08-15","226"
"2022-08-16","367"
"2022-08-17","628"
"2022-08-18","609"
"2022-08-19","463"
"2022-08-20","472"
"2022-08-21","320"
"2022-08-22","135"
"2022-08-23","630"
"2022-08-24","487"
"2022-08-25","374"
"2022-08-26","375"
"2022-08-27","343"
"2022-08-28","253"
"2022-08-29","100"
"2022-08-30","480"
"2022-08-31","408"
"2022-09-01","322"
"2022-09-02","388"
"2022-09-03","405"
"2022-09-04","342"
"2022-09-05","192"
"2022-09-06","614"
"2022-09-07","494"
"2022-09-08","414"
"2022-09-09","370"
"2022-09-10","312"
"2022-09-11","241"
"2022-09-12","102"
"2022-09-13","431"
"2022-09-14","300"
"2022-09-15","248"
"2022-09-16","200"
"2022-09-17","234"
"2022-09-18","150"
"2022-09-19","60"
"2022-09-20","76"
"2022-09-21","329"
"2022-09-22","283"
"2022-09-23","243"
"2022-09-24","79"
"2022-09-25","225"
"2022-09-26","74"
"2022-09-27","229"
"2022-09-28","246"
"2022-09-29","191"
"2022-09-30","192"
"2022-10-01","217"
"2022-10-02","185"
"2022-10-03","56"
"2022-10-04","341"
"2022-10-05","255"
"2022-10-06","269"
"2022-10-07","192"
"2022-10-08","197"
"2022-10-09","191"
"2022-10-10","60"
"2022-10-11","100"
"2022-10-12","407"
"2022-10-13","432"
"2022-10-14","274"
"2022-10-15","269"
"2022-10-16","323"
"2022-10-17","123"
"2022-10-18","376"
"2022-10-19","435"
"2022-10-20","325"
"2022-10-21","349"
"2022-10-22","366"
"2022-10-23","265"
"2022-10-24","98"
"2022-10-25","419"
"2022-10-26","567"
"2022-10-27","354"
"2022-10-28","405"
"2022-10-29","366"
"2022-10-30","307"
"2022-10-31","147"
"2022-11-01","603"
"2022-11-02","555"
"2022-11-03","497"
"2022-11-04","222"
"2022-11-05","547"
"2022-11-06","443"
"2022-11-07","167"
"2022-11-08","718"
"2022-11-09","680"
"2022-11-10","555"
"2022-11-11","547"
"2022-11-12","668"
"2022-11-13","444"
"2022-11-14","206"
"2022-11-15","684"
"2022-11-16","818"
"2022-11-17","639"
"2022-11-18","509"
"2022-11-19","644"
"2022-11-20","448"
"2022-11-21","223"
"2022-11-22","695"
"2022-11-23","877"
"2022-11-24","193"
"2022-11-25","645"
"2022-11-26","710"
"2022-11-27","401"
"2022-11-28","177"
"2022-11-29","667"
"2022-11-30","746"
"2022-12-01","502"
"2022-12-02","449"
"2022-12-03","440"
"2022-12-04","308"
"2022-12-05","183"
"2022-12-06","453"
"2022-12-07","526"
"2022-12-08","392"
"2022-12-09","303"
"2022-12-10","364"
"2022-12-11","260"
"2022-12-12","116"
"2022-12-13","541"
"2022-12-14","430"
"2022-12-15","352"
"2022-12-16","389"
"2022-12-17","367"
"2022-12-18","270"
"2022-12-19","104"
"2022-12-20","486"
"2022-12-21","409"
"2022-12-22","270"
"2022-12-23","315"
"2022-12-24","287"
"2022-12-25","179"
"2022-12-26","89"
"2022-12-27","440"
"2022-12-28","380"
"2022-12-29","285"
"2022-12-30","206"
"2022-12-31","123"
"2023-01-01","128"
"2023-01-02","91"
"2023-01-03","163"
"2023-01-04","111"
"2023-01-05","312"
"2023-01-06","434"
"2023-01-07","342"
"2023-01-08","203"
"2023-01-09","69"
"2023-01-10","109"
"2023-01-11","321"
"2023-01-12","249"
"2023-01-13","200"
"2023-01-14","207"
"2023-01-15","141"
"2023-01-16","38"
"2023-01-17","258"
"2023-01-18","172"
"2023-01-19","151"
"2023-01-20","107"
"2023-01-21","146"
"2023-01-22","77"
"2023-01-23","19"
"2023-01-24","139"
"2023-01-25","124"
"2023-01-26","94"
"2023-01-27","77"
"2023-01-28","86"
"2023-01-29","61"
"2023-01-30","22"
"2023-01-31","126"
"2023-02-01","93"
"2023-02-02","102"
"2023-02-03","61"
"2023-02-04","79"
"2023-02-05","50"
"2023-02-06","13"
"2023-02-07","86"
"2023-02-08","68"
"2023-02-09","35"
"2023-02-10","56"
"2023-02-11","67"
"2023-02-12","17"
"2023-02-13","18"
"2023-02-14","84"
"2023-02-15","86"
"2023-02-16","43"
"2023-02-17","65"
"2023-02-18","44"
"2023-02-19","59"
"2023-02-20","28"
"2023-02-21","83"
"2023-02-22","86"
"2023-02-23","68"
"2023-02-24","12"
"2023-02-25","92"
"2023-02-26","37"
"2023-02-27","25"
"2023-02-28","95"
"2023-03-01","53"
"2023-03-02","63"
"2023-03-03","42"
"2023-03-04","29"
"2023-03-05","33"
"2023-03-06","21"
"2023-03-07","59"
"2023-03-08","45"
"2023-03-09","32"
"2023-03-10","40"
"2023-03-11","37"
"2023-03-12","18"
"2023-03-13","7"
"2023-03-14","52"
"2023-03-15","63"
"2023-03-16","38"
"2023-03-17","33"
"2023-03-18","39"
"2023-03-19","24"
"2023-03-20","2"
"2023-03-21","53"
"2023-03-22","11"
"2023-03-23","50"
"2023-03-24","43"
"2023-03-25","57"
"2023-03-26","25"
"2023-03-27","3"
"2023-03-28","90"
"2023-03-29","62"
"2023-03-30","37"
"2023-03-31","80"
"2023-04-01","67"
"2023-04-02","51"
"2023-04-03","11"
"2023-04-04","76"
"2023-04-05","48"
"2023-04-06","61"
"2023-04-07","39"
"2023-04-08","53"
"2023-04-09","19"
"2023-04-10","13"
"2023-04-11","64"
"2023-04-12","50"
"2023-04-13","36"
"2023-04-14","36"
"2023-04-15","21"
"2023-04-16","31"
"2023-04-17","2"
"2023-04-18","53"
"2023-04-19","63"
"2023-04-20","29"
"2023-04-21","43"
"2023-04-22","28"
"2023-04-23","33"
"2023-04-24","9"
"2023-04-25","52"
"2023-04-26","26"
"2023-04-27","64"
"2023-04-28","57"
"2023-04-29","54"
"2023-04-30","18"
"2023-05-01","9"
"2023-05-02","97"
"2023-05-03","82"
"2023-05-04","33"
"2023-05-05","10"
"2023-05-06","15"
"2023-05-07","81"
"2023-05-08","31"
